,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
NK_CD56bright,0.21715000664901943,0.07401547807457236,0.061428045093754644,0.04399867517431811,0.1536259570642236,0.173686860743652,0.04496388002479954,0.015059672780584354,0.08020515088610891,0.054502170199654136,0.04971138384141979,0.03165271946789306
Neuroendocrine,0.040895665266080655,0.11274572264959694,0.1006680071317835,0.004445608400302765,0.0678736181818761,0.07175076339784393,0.121197142304238,0.0,0.2109987876278275,0.06196439166646094,0.15707821972138744,0.05038207365260213
SMG_Basal,0.0215203696533225,0.1021394764722208,0.4989919922780405,0.0,0.0,0.26520350664075454,0.0,0.0,0.0,0.0,0.08600949882281889,0.026135156132842733
SMG_Duct,0.0,0.0,0.705156769202023,0.0,0.0,0.0,0.0013295918140953523,0.0,0.17395553752752813,0.11364505130436803,0.002719919329157049,0.0031931308228286483
SMG_Mucous,0.028525817196181105,0.0,0.03200832836053381,0.0,0.04156872988796353,0.00010761165185107798,0.8192948786563421,7.912397019220021e-05,0.04210451081337486,0.03631099946356154,0.0,0.0
SMG_Serous,0.0,0.0,0.02258834736197494,0.0003641454501281535,0.00024114879010891867,0.0002419885888587241,0.0,0.0,0.9283362586234517,0.04822811118547769,0.0,0.0
Schwann_Myelinating,0.0,0.4749221166956949,0.06068955688367761,0.0,0.0,0.0,0.12040504317999869,0.0,0.19758417297924008,0.07922000456007586,0.06717910570131276,0.0
Schwann_nonmyelinating,0.0,0.8909302086077653,0.004896783858510891,0.0,0.0,0.0,0.0,0.02737511637053981,0.009619879767237894,0.0017122770807362145,0.0654657343152099,0.0
Secretory_Club,0.16378192760754268,0.0853407248596278,0.11528457196713685,0.011028885244844468,0.10891325807771815,0.18651716005331614,0.007953112644298472,0.0,0.10980558194303816,0.0,0.16403477367520083,0.04734000392727648
Secretory_Goblet,0.11006303766726219,0.0,0.008346435624379445,0.0,0.8760139649797807,0.0,0.002654276355333505,0.000998605320544927,0.0,0.001142892192918411,0.0007807878597808661,0.0
Suprabasal,0.09677758574717962,0.0,0.0,0.0,0.15333553841876166,0.7498868758340587,0.0,0.0,0.0,0.0,0.0,0.0
T_reg,0.13523529220526445,0.11410026922381114,0.0663987472850055,0.08887002336901668,0.07739568347446468,0.1272392227111696,0.0055454111069380896,0.08445937557745513,0.07261424042795116,0.04569287309283007,0.11168981528063861,0.07075904624545475
gdT,0.07043528197503955,0.10861462115858293,0.10614321114886169,0.09881758112700653,0.028355654237013906,0.07615592929672076,0.001985061631446107,0.11450385846901363,0.10979419734844781,0.09039669401120264,0.11741185860887236,0.07738605098779211
